5	53213	5906.16	78
15	48714	8047.13	214
25	39404	7958.81	346
35	29038	6265.82	419
45	21384	3211.46	461
55	17066	2926.96	507
65	14718	2800	565
75	12534	2039.92	640
85	11407	1861.15	658
95	10099	1560.08	696
105	9178	1371.97	770
115	8282	1234.39	813
125	7481	1254.35	849
135	6707	1135.46	893
145	6093	1143.95	849
155	5587	824.204	847
165	5086	692.144	856
175	4815	665.817	787
185	4430	601.274	803
195	4246	626.752	705
205	3952	505.732	544
215	3660	388.535	388
225	3524	412.314	234
235	3276	389.384	89
245	3141	383.015	25
255	3119	99.3631	1
265	749	106.157	0
275	749	106.157	0
285	749	106.157	0
295	749	106.157	0
